,젠레스 존 제로 이잘키 세팅 3.1V,,,,,,,,,,,,,,
캐릭명,진영,특성,"스킬 레벨
(평,회,지,특,궁)",포지션,W-엔진,4세트,2세트,디스크 주옵션,,,유효 부옵션,"핵심
돌파",주옵,치명타,기타
,,명파,"11,7,7,12,11","온필드 메인
치명타 딜러","별빛 기사의 가면[전엔]
청명의 보금자리[의현]
푸른 물결의 솥
기변의 큐브",운규 이야기,"나뭇가지 검의 노래
딱따구리 일렉트로
송곳니 메탈","치명타 피해
치명타 확률","물리 피해
체력",체력,"치확, 치피
체력%
공격력%(후순위)",1. 2. 6,체력 18000,68 / 130,"추가 치확 계산법
전엔 20% + 운규 12% = 32%"
,"교활한
토끼굴",,,,,,,,,,,,,,
S. 빌리,,,,,,,,,,,,,,,
,,지원,"7,1,11,12,9",강공 서포터,"사유로 빚은 노래[전엔]
호전적인 꽝꽝이[루시]
내 맘대로 게임 볼",달빛 기사의 칭송,"스윙 재즈
산림의 왕
(아리아와 사용 시)",공격력,공격력,에너지 회복,"공격력 %
공격력","1, 2",공 3500,,"공 3500에 미치지 못하더라도
스윙 2셋 사용 추천
아리아 파티에서 격파가 없을 시
6번 충격력 고려 가능"
,AOD,,,"이상 서포터
(w/AOD)",,,,,,,,,,,
수나,,,,,,,,,,,,,,,
,,강공,"12,7,9,12,12","온필드 메인
치명타 딜러","구름을 헤친 빛[전엔]
순결한 희생[0호 엔비]
유황석[11호]
별빛 엔진",물빛 노랫소리,"나뭇가지 검의 노래
호르몬/고요별
복어 일렉트로","치명타 피해
공격력","공격력
물리 피해
관통률",공격력,"치확, 치피
공격력%
관통 수치(후순위)","1, 2, 6","공 3000
공 3500
(5번 주옵 공퍼)",50 / 200,마을 치확 50% 이상일 경우 만치확
,운규산,,,,,,,,,,,,,,
엽빛나,,,,,,,,,,,,,,,
,,격파,"11,7,11,12,11","서포터
(강공, 명파)","지난밤의 전화[전엔]
헬파이어 기어[콜레다]
스팀오븐",산림의 왕,"달빛 기사/스윙 재즈
딱따구리 일렉트로
쇼크스타 디스코
(치확 100% 달성 시)",치명타 확률,"물리 피해
관통률
공격력",에너지 회복,"치확, 치피
공격력%","1, 2",,치확 100,"대체 엔진 사용 시
치확 80 이상 권장"
,검은가지,,,,,,,,,,,,,,
다이아린,,,,,,,,,,,,,,,
,,이상,"12,7,7,11,11","온필드 메인
이상 딜러","완벽하게 단조된 별[전엔]
예리한 집게칼[제인]
감입 컴파일러[그레이스]
쌍둥이의 눈물",송곳니 메탈,"파에톤의 노래
블루스/카재
복어 일렉트로",이상 마스터리,"물리 피해(비전엔)
공격력
관통률",이상 장악력,"이상 마스터리
공격력%","1, 2","공 2800
공 3300
(5번 주옵 공퍼)
이상마 320",,"정석 2세트는 파에톤의 노래지만
유즈하와 사용 시 다른 디스크 
사용도 무방"
,괴담방,,,,,,,,,,,,,,
앨리스,,,,,,,,,,,,,,,
,,지원,"12,1,9,12,12","서포터
(이상)","너구리의 7단 변신[전엔]
사유로 빚은 노래[수나]
흐느끼는 요람[리나]
호전적인 꽝꽝이[루시]","달빛 기사의 칭송
고요 속의 별
자유의 블루스
(2돌 이상)",파에톤의 노래,"공격력
이상 마스터리",공격력,이상 장악력,"공격력%
이상 마스터리","1, 2","공 3000
이상 장악력 171",,"공격력 3000 달성 후에는
이상마에 투자
고요별 or 블루스 4셋은 
2지원 조합에서만"
,괴담방,,,,,,,,,,,,,,
유즈하,,,,,,,,,,,,,,,
